Name,Shop,Face_Type,Personal_Color,Eye_Position,Hair_Style,Tags,Comment,Image_Filename,Source_URL
つなかん,大船ルミネウィング店,丸顔,イエベ,普通,,"#加工技術, #フレーム選定, #キレイめ, #メガネ, #女性におすすめ, #旅行, #猫好き, #アート, #写真, #スニーカー","スタッフコメント
2025.12.14
軽やかなかけ心地と高級感を両立した
オーバルチタンメガネは、普段使いに
最適な一本です。

フロント全面にチタンを使用し、
軽量で締め付け感の少ない設計により、
長時間の着用でも負担を感じさせません。

メタルフレームのきらめきが上品な
アクセントとなり、フェミニンでキレイめな印象を演出します。
ピンクのカラーリングは女性らしさを引き
立て、ナチュラルな美しさを引き出します。

デザイン性と快適さを兼ね備えたメガネは、日常のコーディネートにさりげない華やかさをプラスし、洗練されたスタイルをサポートします。
高品質な素材と丁寧な仕上げにより、
長く愛用できる一本です。

つなかん
丸顔イエベ
普通
大船ルミネウィング店
#女性におすすめ
#キレイめ
#メガネ
#ピンク
#フェミニン
#メタル",つなかん.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56596794
夏,イオンモール橿原店,丸顔,イエベ,普通,,"#認定眼鏡士, #視力測定, #イエベ向け, #クリアフレーム, #ユニセックスにおすすめ, #初心者におすすめ, #カフェ巡り, #アート, #ゲーム, #旅行","スタッフコメント
2025.12.12
【カフェラテをイメージしたミルキーなカラー】

ブラウンのプラスチックフレームは、ユニセックスにおすすめで初心者でも気軽に取り入れやすいデザインです！

クリアフレームのボストンタイプは、カジュアルなスタイルにぴったりで、様々なコーデに自然に溶け込みます🙆‍♀️
普段使いからコーデのアクセントまで幅広く活躍しそうです💭

夏
丸顔イエベ
普通
イオンモール橿原店
#ユニセックスにおすすめ
#初心者におすすめ
#イエベ向け
#クリアフレーム
#カジュアル
#メガネ
#ブラウン
#プラスチック",夏.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56532889
こま,イオンモール木曽川店,丸顔,イエベ,普通,,"#コンタクト併用相談, #調整技術, #ミニマル, #トレンド, #デート, #おうち時間, #古着, #映画鑑賞, #読書, #K-POP","ガーリーコーデが好きです⋆౨ৎ˚

参考にしていただけますと嬉しいです✩ˎˊ˗",こま.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124964
Ayako,ミカン下北店,丸顔,イエベ,寄り目,,"#コンタクト併用相談, #加工技術, #お仕事にも使える, #ヴィンテージ風, #女性におすすめ, #ユニセックスにおすすめ, #アニメ, #アート, #ゲーム","スタッフコメント
2025.12.14
ご覧いただきありがとうございます🕊️🤍

Zoff | TOSHIMITSU

“細いのに、ちゃんと印象に残る”。
知的さと色気をひそませた
あざと大人メタルフレーム𓂃◌𓈒𓐍

極細メタルの繊細ラインが、
目元にさりげない緊張感をプラスして
「落ち着いてるのに、なんか惹かれる」
そんな空気感をまとわせてくれる一本🤍

小さめサイズだから主張しすぎず、
でも視線が自然と目に集まる絶妙バランス。
ニット×黒ベストみたいなシンプルコーデでも
一気に“雰囲気美人”が完成します😌✨

⸻

顔型別おすすめ度

卵型　❤︎❤︎❤︎❤︎❤︎
繊細フレームがそのまま映える、完成度高めの仕上がり◎

丸顔　❤︎❤︎❤︎❤︎
細フレームで甘さを引き締め、大人っぽさをプラス。

面長　❤︎❤︎❤︎❤︎
小ぶりラウンドが縦ラインをやわらかく中和してくれる。

ベース型　❤︎❤︎❤︎
線の細さで骨感を抑え、洗練された印象に。

逆三角　❤︎❤︎❤︎❤︎
目元に視線が集まり、シャープさが程よく和らぐ◎

⸻

オススメ顔タイプᵕ̈

✨ 1位：ソフトエレガントさん
知的×女性らしさが噛み合って、透明感が爆上がり🤍

✨ 2位：クールフェミニンさん
大人っぽさに色気をひとさじ。強くなりすぎないのが◎

✨ 3位：フレッシュさん
細フレームで一気に垢抜け。きれいめ寄せしたい日におすすめ。

⸻

👓 スタイリング提案

● マスタードニット × 黒小物
・チークは低め＆淡く
・リップは粘膜カラー
→ “知的あざと”な秋冬ムード完成🤍

● モノトーンコーデの日
・髪はストレート or ゆる巻き
・アクセはシルバー控えめ
→ メガネ主役で大人の余裕感が出る✨
Ayako
卵顔イエベ
寄り目
ミカン下北店
#女性におすすめ
#ユニセックスにおすすめ
#お仕事にも使える
#ヴィンテージ風
#モード
#スタイリッシュ
#QOLメガネ
#メガネ
#卵顔におすすめ
#ナイロール
#メタル",Ayako.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56592076
takoyama,イオンモールむさし村山店,,イエベ,寄り目,,"#加工技術, #コンタクト併用相談, #モード, #すぐに使えるサングラス, #男性におすすめ, #サングラス, #美容, #アニメ, #スニーカー, #犬好き","スタッフコメント
2025.12.09
ボスリントン型サングラス
人気動画クリエイター“東海オンエア”としみつとのコラボサングラス🕶
高級感のある加工に加え、ツーブリッチデザインは更なるオシャレを演出します
takoyama
卵顔イエベ
寄り目
イオンモールむさし村山店
#男性におすすめ
#モード
#すぐに使えるサングラス
#サングラス
#メタル",takoyama.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56423710
akina,湘南モールフィル店,丸顔,イエベ,普通(PD60),ミディアム,"#修理マイスター, #フレーム選定, #お仕事にも使える, #イエベ向け, #女性におすすめ, #ユニセックスにおすすめ, #キャンプ, #映画鑑賞, #ショッピング, #筋トレ","スタッフコメント
2025.12.13
ご覧いただきありがとうございます(*˘ ˘*)
⁡
＊ 顔型：丸顔
＊ 顔タイプ：フレッシュ
＊ 髪型：ミディアム
＊ 目の距離感：普通(PD60)
＊ パーソナルカラー：イエベ
⁡
⇧ 着用本人の特徴になります！
ご参考になれば幸いです🪽🫧


長時間の使用でも疲れにくい軽さと
掛け心地がしやなかで壊れにくい
大人気のZoff SMART👓✨

新機能としてスライド可能な
シリコン鼻パッドを搭載しております☝🏼
(万が一破損した場合も交換可能。)
クラシカルなウエリントンフレームは
男女問わず使いやすいデザインです🥰🫶🏼
akina
丸顔イエベ
普通
湘南モールフィル店
#女性におすすめ
#ユニセックスにおすすめ
#初心者におすすめ
#上級者におすすめ
#お仕事にも使える
#おうち用におすすめ
#イエベ向け
#ブルベ向け
#モード
#カジュアル
#キレイめ
#スタイリッシュ
#QOLメガネ
#メガネ
#ブラウン
#Zoff smart
#プラスチック
#ドライブにおすすめ
#だてメガネにおすすめ",akina.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56586440
Ari,本社,面長,ブルベ,寄り目,,"#お子様メガネ, #加工技術, #イエベ秋, #アメリカン, #おうち時間, #運転, #筋トレ, #猫好き, #ディズニー","出身地📍北海道札幌市

勤務地📍東京都表参道



◼︎Zoffの経歴

北は北海道から南は大分まで

接客業を4年経験し

現在は本社でマーケティングを担当しています🐰🩷



◼︎モットー

「1人でも多くのお客様に笑顔を届ける」ことを大切に毎日過ごしています🌈



◼︎私ってこんなヒト!!

キャラクターものが大好き😘💕

愛と熱意を持って語ります✨



◼︎骨格の特徴

・身長が低めのぽっちゃり体型です🧸

(食べることが大好きなのでご愛嬌として受け取ってください🤭)

・顔型は面長さん

・PDは56mmなので大きめのフレームをかけると寄り目に見えがちです😱

→同じ悩みがある方はぜひ参考にしてください♬



◼︎ファッション特徴

・オフィスコーデ＆休日コーデ

・メイクは絶賛お勉強中です🫶",Ari.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124944
akina,湘南モールフィル店,丸顔,イエベ,普通,,"#強度近視相談, #コンタクト併用相談, #カジュアル, #フレンチ, #学習用, #ギフト, #映画鑑賞, #アート, #読書, #K-POP","⁡

⁡

👓 𝖹𝗈𝖿𝖿 𝗌𝗍𝖺𝖿𝖿 𝗂𝗇𝖿𝗅𝗎𝖾𝗇𝖼𝖾𝗋 ⟡ ݁.

⌇𝟣𝟨𝟢𝖼𝗆⌇丸顔⌇ｲｴﾍﾞ⌇𝖯𝖣𝟨𝟢

⌇ 𝟦歳と𝟥歳 の𝟤児のママ

⁡

メガネのことお任せ下さい🫶🏼˒˒

⁡

副店長経験も過去にあり自身の知識や

経験を生かし皆様の𝗟𝗶𝗳𝗲 𝘀𝘁𝘆𝗹𝗲に

寄り添いお力になれればと思います🤝🏼❤️‍🔥

⁡

普段メガネは運転の時や映画鑑賞、その日の

ファッションや気分に合わせて掛けてます👓✨

自分に似合うメガネを

一緒に見つけていきましょう🥰✊🏼

お店でも是非お待ちしております- ̗̀( ˶'ᵕ'˶) ̖́-



⁡

𓊆ྀི 趣味・好きなこと 𓊇ྀི

スタバ、ガチャガチャをする

映画やドラマ観賞、INI、推し活

ライブ、おひとり様岩盤浴やお風呂",akina.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=125061
MD,ルミネ立川店,,ブルベ,寄り目,,"#強度近視相談, #レンズ知識, #クラシック, #韓国ファッション, #おうち用におすすめ, #日常使いにおすすめ, #読書, #旅行, #猫好き, #美容","スタッフコメント
2025.11.13
テンプルがチタン素材の新作フレームです。
色味は透け感のあるブラウンのグラデーションで、とても軽いです🌟
MD
卵顔ブルベ
寄り目
ルミネ立川店
#おうち用におすすめ
#日常使いにおすすめ",MD.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=55425548
いぐろ,下北沢店,面長,イエベ,普通,,"#レンズ知識, #修理マイスター, #クリアフレーム, #カジュアル, #ユニセックスにおすすめ, #初心者におすすめ, #スニーカー, #旅行, #古着, #アート","スタッフコメント
2025.12.12
エッジを効かせたボストン型、サイズ感や厚みのバランスが良く合わせやすい。
側面のメタルパーツでさりげなく個性を主張できる。
軽量素材で掛け心地も抜群、ダテメガネやカラーレンズでカスタムにもおすすめ。
いぐろ
面長顔イエベ
普通
下北沢店
#ユニセックスにおすすめ
#初心者におすすめ
#クリアフレーム
#カジュアル",いぐろ.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56555531
